;COUNTYFP;STATEFP;Geo Point;NAME;STATE_NAME
3048;95;6;38.2669127871,-121.940024418;Solano;California
3049;9;20;38.4789639679,-98.756464293;Barton;Kansas
3050;127;28;31.9131719625,-89.9194880948;Simpson;Mississippi
3051;131;28;30.789951647,-89.1177101979;Stone;Mississippi
3052;17;29;37.322190727,-90.0259472067;Bollinger;Missouri
3053;23;13;32.4344414462,-83.3278388255;Bleckley;Georgia
3054;15;20;37.7812707517,-96.8390654617;Butler;Kansas
3055;121;28;32.2641243634,-89.9457980719;Rankin;Mississippi
3056;181;47;35.2399169268,-87.7880131637;Wayne;Tennessee
3057;123;19;41.3352034594,-92.6409093578;Mahaska;Iowa
3058;151;13;33.4529935799,-84.1541806022;Henry;Georgia
3059;107;47;35.4247444764,-84.6174748904;McMinn;Tennessee
3060;123;40;34.7280450543,-96.6843760531;Pontotoc;Oklahoma
3061;28;35;35.869381374,-106.307385105;Los Alamos;New Mexico
3062;117;72;18.3392710487,-67.2646843224;Rincón;Puerto Rico
3063;17;25;42.48553813,-71.3917424712;Middlesex;Massachusetts
3064;347;48;31.6159802631,-94.6158732578;Nacogdoches;Texas
3065;95;13;31.5333740309,-84.2162536823;Dougherty;Georgia
3066;23;1;32.0196107831,-88.2632012743;Choctaw;Alabama
3067;57;20;37.6917036301,-99.8879423784;Ford;Kansas
3068;51;28;33.1235144947,-90.0920506122;Holmes;Mississippi
3069;7;37;34.9737894417,-80.102712026;Anson;North Carolina
3070;100;2;59.0758951471,-135.470092205;Haines;Alaska
3071;20;78;18.3275819493,-64.7377153693;St. John;U.S. Virgin Islands
3072;127;22;31.944249197,-92.6367652262;Winn;Louisiana
3073;13;42;40.4809952692,-78.3486041534;Blair;Pennsylvania
3074;31;16;42.2838809992,-113.600088287;Cassia;Idaho
3075;15;32;39.9338060484,-117.037908401;Lander;Nevada
3076;57;36;42.9022816291,-74.4396826879;Montgomery;New York
3077;35;27;46.482373828,-94.0708780275;Crow Wing;Minnesota
3078;181;29;36.6528169511,-90.8638843452;Ripley;Missouri
3079;177;37;35.8694070017,-76.1704523585;Tyrrell;North Carolina
